wind_speed_kmh,rainfall_mm,temperature_c,humidity_percent,storm,risk_score,risk_level,recommended_sensitivity
52.71,5.65,41.77,90.45,1,73.76,HIGH_RISK,LOW
18.78,3.45,27.23,79.59,0,24.89,LOW_RISK,HIGH
72.53,20.6,26.09,25.29,0,63.7,HIGH_RISK,LOW
6.68,6.07,17.68,66.62,0,16.14,LOW_RISK,HIGH
34.49,4.54,14.49,92.64,0,54.52,MEDIUM_RISK,MEDIUM
8.85,3.22,30.49,40.06,0,11.17,LOW_RISK,HIGH
27.54,0.78,28.36,90.64,0,27.92,LOW_RISK,HIGH
35.19,25.15,24.45,70.72,0,59.01,HIGH_RISK,LOW
24.74,4.14,37.98,90.14,0,30.84,LOW_RISK,HIGH
27.03,4.43,17.92,63.82,0,14.37,LOW_RISK,HIGH
43.07,8.04,19.49,64.93,0,44.37,MEDIUM_RISK,MEDIUM
22.89,16.81,31.05,64.85,0,48.03,MEDIUM_RISK,MEDIUM
36.96,8.77,23.94,81.77,0,53.25,MEDIUM_RISK,MEDIUM
14.83,3.45,37.55,59.24,0,11.64,LOW_RISK,HIGH
33.56,4.76,39.85,82.94,0,48.89,MEDIUM_RISK,MEDIUM
34.12,11.45,33.85,100.0,0,55.47,HIGH_RISK,LOW
28.6,3.59,34.17,62.76,0,20.54,LOW_RISK,HIGH
29.61,11.69,30.0,69.25,0,35.27,MEDIUM_RISK,MEDIUM
27.6,2.96,21.17,71.71,0,28.15,LOW_RISK,HIGH
54.4,4.17,33.08,55.72,0,51.33,MEDIUM_RISK,MEDIUM
19.03,9.61,24.38,80.34,0,38.2,MEDIUM_RISK,MEDIUM
49.86,6.31,35.76,60.06,1,61.2,HIGH_RISK,LOW
13.41,16.41,28.45,64.01,0,22.5,LOW_RISK,HIGH
31.09,4.24,26.22,100.0,0,40.17,MEDIUM_RISK,MEDIUM
25.05,1.36,45.0,31.1,0,11.5,LOW_RISK,HIGH
15.77,3.52,20.15,55.82,0,23.67,LOW_RISK,HIGH
23.65,1.85,25.79,81.55,0,27.63,LOW_RISK,HIGH
55.23,12.79,22.37,60.03,0,53.01,MEDIUM_RISK,MEDIUM
18.91,2.56,23.88,68.92,0,25.57,LOW_RISK,HIGH
18.91,1.7,23.19,21.55,1,24.74,LOW_RISK,HIGH
40.65,3.67,45.0,67.51,1,51.67,MEDIUM_RISK,MEDIUM
